Year,Month,Model,Units_Sold,Price,Revenue,Dealer,Region,Fuel_Type,Transmission
2020,11,X3,20,50477.89,1009557.8,Dealer_17,North America,Petrol,Automatic
2023,5,3 Series,15,37844.68,567670.2,Dealer_50,Europe,Hybrid,Manual
2021,8,i8,30,155638.03,4669140.9,Dealer_36,North America,Petrol,Manual
2024,12,7 Series,21,90412.55,1898663.55,Dealer_24,South America,Diesel,Automatic
2012,1,X3,33,48450.98,1598882.34,Dealer_3,Asia,Diesel,Manual
2020,2,X5,21,73712.27,1547957.6700000002,Dealer_27,South America,Diesel,Manual
2023,3,7 Series,18,98976.11,1781569.98,Dealer_2,Europe,Hybrid,Automatic
2022,11,Z4,22,57161.24,1257547.28,Dealer_18,Europe,Petrol,Automatic
2023,1,i3,11,43502.86,478531.46,Dealer_30,Asia,Hybrid,Manual
2013,1,M5,28,100583.59,2816340.52,Dealer_22,Asia,Petrol,Automatic
2015,11,i8,15,142786.49,2141797.3499999996,Dealer_35,Asia,Petrol,Manual
2024,5,7 Series,23,91305.04,2100015.92,Dealer_17,North America,Petrol,Automatic
2015,12,X5,17,67009.68,1139164.5599999998,Dealer_33,North America,Electric,Manual
2014,1,Z4,19,51540.86,979276.34,Dealer_34,South America,Diesel,Automatic
2016,2,M5,23,123504.28,2840598.44,Dealer_40,Asia,Petrol,Automatic
2018,5,M5,14,107364.38,1503101.32,Dealer_26,Africa,Hybrid,Manual
2013,7,M5,18,124121.46,2234186.2800000003,Dealer_44,Africa,Diesel,Automatic
2016,9,3 Series,23,41628.82,957462.86,Dealer_14,Middle East,Hybrid,Automatic
2017,8,M5,21,101231.59,2125863.39,Dealer_31,Africa,Diesel,Manual
2014,9,M5,23,114437.64,2632065.72,Dealer_22,North America,Diesel,Automatic
2013,4,7 Series,24,77122.85,1850948.4000000001,Dealer_16,Middle East,Petrol,Automatic
2016,11,M3,30,67083.14,2012494.2,Dealer_45,Middle East,Electric,Automatic
2013,3,M5,19,116160.11,2207042.09,Dealer_49,North America,Electric,Manual
2012,12,i8,18,145511.1,2619199.8000000003,Dealer_36,Europe,Petrol,Automatic
2012,8,M5,26,111230.65,2891996.9,Dealer_36,South America,Hybrid,Automatic
2019,12,i8,21,143923.11,3022385.3099999996,Dealer_36,Middle East,Diesel,Automatic
2017,5,X1,28,40318.56,1128919.68,Dealer_18,South America,Electric,Manual
2014,8,5 Series,19,61273.49,1164196.31,Dealer_16,Asia,Hybrid,Automatic
2024,9,5 Series,27,51783.17,1398145.5899999999,Dealer_15,Middle East,Diesel,Manual
2011,7,X6,23,69948.51,1608815.73,Dealer_30,Middle East,Petrol,Manual
2023,7,X6,22,82001.61,1804035.42,Dealer_38,Africa,Petrol,Automatic
2017,1,X5,14,64322.95,900521.2999999999,Dealer_25,Middle East,Diesel,Automatic
2013,5,X6,22,73198.48,1610366.5599999998,Dealer_25,Asia,Electric,Manual
2023,8,7 Series,23,101508.41,2334693.43,Dealer_35,North America,Electric,Manual
2011,11,X6,24,65849.69,1580392.56,Dealer_30,Europe,Petrol,Automatic
2016,6,X1,19,36274.34,689212.46,Dealer_22,Middle East,Hybrid,Automatic
2014,2,i3,23,40761.67,937518.4099999999,Dealer_35,North America,Hybrid,Manual
2020,2,M5,23,95768.13,2202666.99,Dealer_2,Europe,Diesel,Manual
2019,3,X1,14,32825.32,459554.48,Dealer_43,North America,Diesel,Automatic
2021,5,X5,18,61771.89,1111894.02,Dealer_39,Africa,Petrol,Manual
2014,2,M3,28,63539.25,1779099.0,Dealer_20,South America,Electric,Automatic
2021,4,5 Series,25,59269.61,1481740.25,Dealer_41,Europe,Petrol,Automatic
2023,11,M3,22,79916.09,1758153.98,Dealer_37,North America,Hybrid,Automatic
2020,6,5 Series,16,57848.35,925573.6,Dealer_22,North America,Electric,Automatic
2011,7,X5,18,70893.91,1276090.3800000001,Dealer_30,Africa,Diesel,Automatic
2012,12,i8,23,166549.9,3830647.6999999997,Dealer_18,South America,Electric,Automatic
2016,12,M3,28,68636.31,1921816.68,Dealer_16,North America,Hybrid,Automatic
2013,8,M3,18,75816.97,1364705.46,Dealer_25,Asia,Petrol,Automatic
2023,6,7 Series,26,88932.52,2312245.52,Dealer_23,Asia,Hybrid,Automatic
2024,10,Z4,16,58201.61,931225.76,Dealer_36,North America,Diesel,Manual
2013,12,X6,30,73260.13,2197803.9000000004,Dealer_49,Europe,Electric,Automatic
2017,1,5 Series,22,54354.89,1195807.58,Dealer_26,Africa,Diesel,Automatic
2020,10,X5,15,67728.58,1015928.7000000001,Dealer_34,Asia,Electric,Automatic
2015,12,i3,27,44157.37,1192248.99,Dealer_17,Europe,Petrol,Manual
2015,2,Z4,24,53037.96,1272911.04,Dealer_49,Africa,Diesel,Manual
2013,12,i3,19,44232.74,840422.0599999999,Dealer_38,South America,Hybrid,Manual
2023,4,X3,21,46475.76,975990.9600000001,Dealer_12,Asia,Petrol,Manual
2014,1,3 Series,25,44772.32,1119308.0,Dealer_45,Europe,Electric,Manual
2023,1,M3,24,68971.13,1655307.12,Dealer_31,Middle East,Hybrid,Manual
2010,5,i3,27,42040.18,1135084.86,Dealer_5,Middle East,Electric,Manual
2019,11,M5,19,96188.69,1827585.11,Dealer_10,South America,Hybrid,Manual
2013,2,i8,22,158106.62,3478345.6399999997,Dealer_39,South America,Diesel,Automatic
2017,8,X3,20,55586.4,1111728.0,Dealer_28,Asia,Petrol,Manual
2022,4,M5,18,101147.29,1820651.22,Dealer_43,North America,Diesel,Manual
2012,9,5 Series,8,52082.79,416662.32,Dealer_27,Middle East,Electric,Automatic
2010,4,X3,26,53380.16,1387884.1600000001,Dealer_45,Middle East,Petrol,Manual
2024,5,M5,15,113078.37,1696175.5499999998,Dealer_13,Middle East,Petrol,Manual
2020,3,X3,25,55103.49,1377587.25,Dealer_5,North America,Diesel,Automatic
2019,12,M3,23,82345.04,1893935.92,Dealer_29,North America,Electric,Automatic
2021,7,X3,21,50406.8,1058542.8,Dealer_32,Middle East,Petrol,Manual
2024,7,Z4,21,49834.82,1046531.22,Dealer_17,North America,Petrol,Manual
2020,10,M3,25,82966.51,2074162.7499999998,Dealer_49,Africa,Hybrid,Manual
2022,3,i3,20,47506.01,950120.2000000001,Dealer_29,Asia,Diesel,Automatic
2020,8,5 Series,26,57255.17,1488634.42,Dealer_27,Asia,Hybrid,Manual
2023,3,X5,20,66527.08,1330541.6,Dealer_32,Asia,Electric,Manual
2017,2,X5,16,63421.78,1014748.48,Dealer_8,Middle East,Petrol,Automatic
2016,1,X1,22,36943.61,812759.42,Dealer_40,Middle East,Electric,Manual
2013,5,i8,23,131502.56,3024558.88,Dealer_19,Middle East,Electric,Manual
2010,11,M3,31,79785.59,2473353.29,Dealer_46,Europe,Hybrid,Manual
2018,7,5 Series,22,53207.56,1170566.3199999998,Dealer_8,Middle East,Petrol,Manual
2017,12,X3,20,50527.76,1010555.2000000001,Dealer_18,Middle East,Electric,Automatic
2013,8,i8,19,132074.96,2509424.2399999998,Dealer_13,South America,Diesel,Manual
2014,7,X5,11,76717.84,843896.24,Dealer_33,Asia,Petrol,Automatic
2021,5,M3,26,75178.39,1954638.14,Dealer_43,Middle East,Diesel,Automatic
2018,8,X5,21,64982.58,1364634.18,Dealer_49,South America,Electric,Automatic
2024,6,X1,21,41798.13,877760.73,Dealer_16,South America,Electric,Manual
2023,7,3 Series,16,41809.02,668944.32,Dealer_31,Africa,Electric,Automatic
2020,11,7 Series,20,89130.88,1782617.6,Dealer_3,Europe,Hybrid,Manual
2023,8,5 Series,23,58178.19,1338098.37,Dealer_30,North America,Diesel,Automatic
2023,11,7 Series,19,78408.12,1489754.2799999998,Dealer_17,Asia,Electric,Manual
2023,6,M5,21,121569.28,2552954.88,Dealer_25,Asia,Electric,Manual
2019,2,X1,23,38127.19,876925.3700000001,Dealer_19,Europe,Petrol,Automatic
2011,11,Z4,13,58088.69,755152.97,Dealer_29,Europe,Hybrid,Manual
2010,6,3 Series,30,41496.43,1244892.9,Dealer_24,Middle East,Diesel,Manual
2018,7,M3,19,77317.81,1469038.39,Dealer_12,Europe,Diesel,Manual
2019,7,M3,20,77345.83,1546916.6,Dealer_32,South America,Diesel,Manual
2017,11,X3,30,49817.82,1494534.6,Dealer_43,North America,Electric,Automatic
2020,9,7 Series,16,78383.48,1254135.68,Dealer_23,South America,Hybrid,Automatic
2021,5,i3,14,51911.6,726762.4,Dealer_13,Middle East,Electric,Manual
2013,7,M3,14,70538.14,987533.96,Dealer_19,Africa,Hybrid,Manual
2023,11,X6,13,68764.09,893933.1699999999,Dealer_37,Africa,Petrol,Automatic
2023,5,X1,26,37874.18,984728.68,Dealer_23,Europe,Diesel,Automatic
2020,12,M5,26,115946.94,3014620.44,Dealer_9,Africa,Petrol,Manual
2014,8,3 Series,15,45102.63,676539.45,Dealer_47,Europe,Petrol,Automatic
2015,12,X6,24,66688.44,1600522.56,Dealer_9,South America,Hybrid,Automatic
2023,3,X3,18,56362.3,1014521.4,Dealer_31,Asia,Hybrid,Manual
2017,2,7 Series,24,95730.86,2297540.64,Dealer_15,Africa,Electric,Automatic
2011,7,3 Series,19,41132.18,781511.42,Dealer_8,Middle East,Hybrid,Automatic
2019,7,M5,19,124119.19,2358264.61,Dealer_7,Africa,Diesel,Automatic
2010,10,i8,27,139776.26,3773959.0200000005,Dealer_40,Europe,Petrol,Automatic
2024,12,X3,24,52549.05,1261177.2000000002,Dealer_8,Europe,Petrol,Manual
2014,8,5 Series,21,51103.67,1073177.07,Dealer_35,Europe,Electric,Automatic
2015,11,Z4,19,55447.26,1053497.94,Dealer_35,Middle East,Diesel,Automatic
2020,2,i3,28,48811.3,1366716.4000000001,Dealer_18,North America,Hybrid,Manual
2017,8,X1,31,40482.23,1254949.1300000001,Dealer_7,Africa,Hybrid,Automatic
2010,7,X3,23,45933.24,1056464.52,Dealer_8,Middle East,Petrol,Manual
2020,11,M3,18,83392.96,1501073.28,Dealer_4,Asia,Diesel,Manual
2022,10,X1,23,32220.41,741069.43,Dealer_49,South America,Diesel,Manual
2023,4,X5,25,73600.19,1840004.75,Dealer_39,North America,Hybrid,Manual
2012,9,X3,14,54698.6,765780.4,Dealer_8,Africa,Petrol,Manual
2010,6,X1,12,37682.96,452195.52,Dealer_2,Europe,Hybrid,Manual
2012,12,X6,20,74047.8,1480956.0,Dealer_48,North America,Electric,Automatic
2022,6,i8,19,150933.97,2867745.43,Dealer_29,South America,Diesel,Manual
2021,11,i8,23,138668.47,3189374.81,Dealer_42,North America,Petrol,Automatic
2023,7,X6,13,77408.05,1006304.65,Dealer_32,Africa,Electric,Manual
2024,2,X5,24,70361.8,1688683.2000000002,Dealer_5,Europe,Hybrid,Automatic
2016,10,i8,19,138385.71,2629328.4899999998,Dealer_33,South America,Electric,Manual
2022,12,5 Series,19,63571.08,1207850.52,Dealer_42,South America,Diesel,Automatic
2017,4,X6,25,70117.56,1752939.0,Dealer_30,Middle East,Electric,Manual
2015,7,X5,20,71469.6,1429392.0,Dealer_24,Europe,Electric,Manual
2011,2,5 Series,14,56625.96,792763.44,Dealer_48,Africa,Hybrid,Manual
2018,1,M3,12,83089.12,997069.44,Dealer_36,Asia,Petrol,Automatic
2015,11,X6,15,81229.94,1218449.1,Dealer_47,North America,Hybrid,Automatic
2015,2,M3,24,73655.66,1767735.84,Dealer_10,Africa,Electric,Manual
2023,2,X5,33,74984.78,2474497.7399999998,Dealer_24,North America,Hybrid,Manual
2022,7,i8,18,166930.96,3004757.28,Dealer_40,South America,Petrol,Automatic
2010,3,X3,13,53318.86,693145.18,Dealer_20,Asia,Hybrid,Manual
2012,3,M3,23,76804.24,1766497.52,Dealer_5,Europe,Petrol,Manual
2021,9,X1,20,35450.04,709000.8,Dealer_30,Asia,Diesel,Automatic
2014,12,X5,22,73648.29,1620262.38,Dealer_37,South America,Petrol,Manual
2012,3,M3,10,64045.01,640450.1,Dealer_6,Asia,Electric,Automatic
2017,10,i3,20,46091.48,921829.6000000001,Dealer_14,South America,Petrol,Automatic
2016,2,X3,18,52966.34,953394.1199999999,Dealer_38,Middle East,Hybrid,Manual
2013,7,M3,20,64150.42,1283008.4,Dealer_14,Asia,Diesel,Manual
2022,5,X3,22,47924.96,1054349.1199999999,Dealer_1,Middle East,Electric,Manual
2012,7,i8,24,155554.19,3733300.56,Dealer_33,South America,Hybrid,Manual
2016,12,3 Series,18,43296.37,779334.66,Dealer_30,North America,Hybrid,Automatic
2019,7,Z4,23,54602.13,1255848.99,Dealer_19,North America,Electric,Manual
2015,3,M3,28,72662.03,2034536.8399999999,Dealer_45,Asia,Petrol,Automatic
2023,2,X1,31,36074.6,1118312.5999999999,Dealer_26,South America,Petrol,Automatic
2023,5,Z4,22,50092.7,1102039.4,Dealer_22,Europe,Petrol,Manual
2018,9,X1,29,41012.19,1189353.51,Dealer_23,Asia,Diesel,Manual
2011,3,X3,10,46040.71,460407.1,Dealer_39,Europe,Petrol,Manual
2022,11,i3,19,46763.37,888504.03,Dealer_37,South America,Electric,Automatic
2023,11,X5,22,61443.67,1351760.74,Dealer_5,Middle East,Electric,Automatic
2022,5,M3,26,64179.61,1668669.86,Dealer_33,North America,Hybrid,Automatic
2017,1,3 Series,20,42446.09,848921.7999999999,Dealer_19,North America,Petrol,Automatic
2017,10,i8,26,166077.72,4318020.72,Dealer_48,North America,Electric,Manual
2015,10,i3,20,47268.46,945369.2,Dealer_4,Middle East,Petrol,Automatic
2021,2,i8,31,153137.34,4747257.54,Dealer_3,Europe,Electric,Automatic
2018,9,M3,17,66333.67,1127672.39,Dealer_24,Asia,Electric,Automatic
2022,6,M5,23,113333.4,2606668.1999999997,Dealer_41,Africa,Hybrid,Manual
2015,2,i8,15,154491.93,2317378.9499999997,Dealer_19,Asia,Diesel,Automatic
2011,10,M5,21,98954.99,2078054.79,Dealer_23,Asia,Electric,Manual
2019,12,5 Series,21,54608.1,1146770.0999999999,Dealer_25,Africa,Hybrid,Manual
2020,12,Z4,22,59957.46,1319064.1199999999,Dealer_34,North America,Electric,Automatic
2010,6,X3,27,45795.79,1236486.33,Dealer_14,Asia,Electric,Manual
2013,3,7 Series,15,78467.71,1177015.6500000001,Dealer_7,South America,Petrol,Automatic
2024,10,7 Series,25,91729.78,2293244.5,Dealer_10,Europe,Diesel,Manual
2021,8,3 Series,24,42976.82,1031443.6799999999,Dealer_44,Africa,Diesel,Automatic
2019,5,Z4,15,56757.01,851355.15,Dealer_15,South America,Diesel,Automatic
2022,8,X1,19,35362.33,671884.27,Dealer_37,Middle East,Electric,Automatic
2022,7,i8,19,148153.31,2814912.89,Dealer_11,Europe,Diesel,Automatic
2010,11,i3,28,52300.58,1464416.24,Dealer_36,North America,Petrol,Automatic
2011,3,X3,21,49670.2,1043074.2,Dealer_33,Europe,Electric,Manual
2024,4,i3,20,52442.5,1048850.0,Dealer_2,Middle East,Petrol,Automatic
2018,6,X1,21,35554.74,746649.5399999999,Dealer_6,Asia,Diesel,Manual
2015,2,Z4,21,54749.41,1149737.61,Dealer_10,Europe,Petrol,Automatic
2024,8,Z4,23,57466.66,1321733.1800000002,Dealer_49,Africa,Electric,Automatic
2019,1,5 Series,13,49813.56,647576.28,Dealer_14,Europe,Electric,Manual
2022,5,X1,15,34662.09,519931.35,Dealer_4,Europe,Electric,Automatic
2011,2,i3,15,48555.98,728339.7000000001,Dealer_2,Africa,Diesel,Manual
2014,7,3 Series,16,45546.6,728745.6,Dealer_16,South America,Electric,Manual
2020,11,5 Series,28,58137.5,1627850.0,Dealer_24,North America,Petrol,Automatic
2023,8,3 Series,23,45809.45,1053617.3499999999,Dealer_24,Asia,Petrol,Automatic
2022,2,X5,16,63201.96,1011231.36,Dealer_43,Africa,Petrol,Automatic
2012,1,X5,16,69147.27,1106356.32,Dealer_42,Europe,Electric,Automatic
2020,3,7 Series,16,78109.06,1249744.96,Dealer_50,Middle East,Petrol,Automatic
2013,1,X1,15,40800.8,612012.0,Dealer_21,Asia,Electric,Automatic
2014,1,M5,17,100519.76,1708835.92,Dealer_23,North America,Hybrid,Automatic
2011,6,X6,21,81679.22,1715263.62,Dealer_48,Middle East,Electric,Automatic
2012,8,Z4,23,52462.85,1206645.55,Dealer_34,Asia,Petrol,Automatic
2011,7,M3,12,83897.06,1006764.72,Dealer_12,South America,Hybrid,Automatic
2011,2,X5,25,71387.92,1784698.0,Dealer_20,Middle East,Electric,Manual
2021,8,X5,16,67219.03,1075504.48,Dealer_47,Asia,Electric,Automatic
2020,1,5 Series,19,60574.53,1150916.07,Dealer_26,Asia,Diesel,Manual
2012,10,M5,23,119111.33,2739560.59,Dealer_3,Europe,Petrol,Manual
2022,11,X5,20,65561.94,1311238.8,Dealer_37,North America,Diesel,Automatic
2015,6,i3,21,50801.64,1066834.44,Dealer_37,Europe,Hybrid,Automatic
2015,11,X3,14,46794.41,655121.74,Dealer_8,North America,Diesel,Automatic
2018,7,i8,21,130945.96,2749865.16,Dealer_50,Asia,Electric,Manual
2019,5,Z4,18,58747.18,1057449.24,Dealer_32,Europe,Petrol,Manual
2023,2,i3,17,42830.86,728124.62,Dealer_46,Middle East,Petrol,Automatic
2020,6,Z4,15,45974.09,689611.35,Dealer_35,Asia,Hybrid,Manual
2021,12,Z4,22,54565.5,1200441.0,Dealer_24,South America,Diesel,Manual
2013,3,X1,25,39798.92,994973.0,Dealer_2,Asia,Hybrid,Automatic
2022,9,7 Series,14,92104.68,1289465.52,Dealer_6,North America,Hybrid,Automatic
2021,12,i3,22,47596.89,1047131.58,Dealer_50,Middle East,Petrol,Manual
2015,11,5 Series,20,56924.58,1138491.6,Dealer_44,South America,Hybrid,Manual
2024,9,M5,18,113015.26,2034274.68,Dealer_50,Europe,Electric,Manual
2023,2,i8,23,132426.65,3045812.9499999997,Dealer_11,Europe,Hybrid,Manual
2015,9,X3,22,55381.45,1218391.9,Dealer_17,Europe,Hybrid,Manual
2020,5,M3,14,74203.04,1038842.5599999999,Dealer_33,Africa,Diesel,Manual
2012,11,M3,17,78133.29,1328265.93,Dealer_39,Asia,Petrol,Manual
2011,1,M5,16,118787.2,1900595.2,Dealer_17,Africa,Diesel,Automatic
2019,11,3 Series,13,44075.28,572978.64,Dealer_41,South America,Hybrid,Automatic
2017,4,M5,14,107291.91,1502086.74,Dealer_30,North America,Petrol,Manual
2017,7,i3,26,46769.97,1216019.22,Dealer_22,South America,Diesel,Automatic
2023,12,X5,16,72816.9,1165070.4,Dealer_23,Middle East,Diesel,Automatic
2018,9,5 Series,29,54765.41,1588196.8900000001,Dealer_30,North America,Hybrid,Automatic
2013,3,5 Series,22,50334.99,1107369.78,Dealer_25,South America,Electric,Manual
2023,3,X5,25,76708.15,1917703.7499999998,Dealer_47,Asia,Diesel,Manual
2017,9,i3,19,47233.26,897431.9400000001,Dealer_20,Middle East,Petrol,Manual
2016,9,i3,21,53550.27,1124555.67,Dealer_14,South America,Hybrid,Manual
2010,5,i3,15,48566.5,728497.5,Dealer_42,Africa,Electric,Automatic
2018,1,5 Series,18,56610.31,1018985.58,Dealer_17,Africa,Hybrid,Automatic
2015,1,X6,16,64074.31,1025188.96,Dealer_36,Europe,Hybrid,Automatic
2011,7,i8,21,144914.88,3043212.48,Dealer_36,Asia,Petrol,Manual
2011,7,X5,19,74000.5,1406009.5,Dealer_22,South America,Hybrid,Manual
2013,10,i8,18,142858.26,2571448.68,Dealer_3,North America,Petrol,Manual
2021,6,i3,17,47510.99,807686.83,Dealer_10,South America,Diesel,Automatic
2024,10,X5,25,61668.79,1541719.75,Dealer_40,Africa,Hybrid,Automatic
2018,9,i8,21,146573.56,3078044.76,Dealer_37,Asia,Electric,Manual
2015,6,M5,19,97952.54,1861098.2599999998,Dealer_27,South America,Hybrid,Manual
2019,8,X3,15,57125.82,856887.3,Dealer_50,South America,Diesel,Manual
2019,8,7 Series,30,89867.92,2696037.6,Dealer_47,South America,Electric,Manual
2023,11,X1,22,31831.49,700292.78,Dealer_45,North America,Diesel,Manual
2017,6,X6,17,66180.06,1125061.02,Dealer_45,Europe,Electric,Automatic
2023,12,Z4,16,45934.22,734947.52,Dealer_9,South America,Diesel,Automatic
2020,8,i8,23,141826.64,3262012.72,Dealer_12,Middle East,Hybrid,Automatic
2020,12,M5,19,114764.24,2180520.56,Dealer_45,Asia,Electric,Manual
2013,5,i8,19,138536.96,2632202.2399999998,Dealer_20,Asia,Diesel,Automatic
2015,8,X5,20,69429.51,1388590.2,Dealer_47,Asia,Hybrid,Manual
2019,11,i8,20,141947.16,2838943.2,Dealer_26,Asia,Diesel,Automatic
2010,5,Z4,24,46185.44,1108450.56,Dealer_29,Africa,Hybrid,Automatic
2013,4,i8,19,137387.57,2610363.83,Dealer_36,Africa,Hybrid,Manual
2011,10,Z4,28,53802.46,1506468.88,Dealer_16,North America,Diesel,Manual
2010,2,X6,23,69936.17,1608531.91,Dealer_31,North America,Diesel,Manual
2018,3,X6,23,76710.75,1764347.25,Dealer_31,Middle East,Diesel,Automatic
2015,5,M5,16,96363.62,1541817.92,Dealer_50,North America,Diesel,Manual
2024,3,X6,17,81527.14,1385961.38,Dealer_12,North America,Electric,Automatic
2012,12,X3,19,55825.1,1060676.9,Dealer_1,Asia,Petrol,Automatic
2014,8,M5,15,111613.97,1674209.55,Dealer_32,Europe,Electric,Automatic
2013,2,X5,25,61668.64,1541716.0,Dealer_30,Africa,Hybrid,Manual
2010,12,X5,17,73919.97,1256639.49,Dealer_37,Africa,Diesel,Manual
2019,11,X6,24,80366.79,1928802.96,Dealer_33,Asia,Petrol,Automatic
2020,2,7 Series,24,101532.97,2436791.2800000003,Dealer_31,Asia,Diesel,Manual
2014,7,X1,17,36190.72,615242.24,Dealer_18,Asia,Hybrid,Manual
2014,11,X5,22,72008.99,1584197.78,Dealer_4,Africa,Petrol,Automatic
2014,3,X6,20,77407.55,1548151.0,Dealer_46,Asia,Petrol,Automatic
2015,10,X1,16,33800.85,540813.6,Dealer_9,Middle East,Diesel,Automatic
2021,10,X5,21,66608.99,1398788.79,Dealer_36,Middle East,Diesel,Manual
2020,10,5 Series,29,58170.86,1686954.94,Dealer_34,Africa,Hybrid,Manual
2024,10,5 Series,24,50519.01,1212456.24,Dealer_36,South America,Diesel,Manual
2012,6,i8,22,144557.3,3180260.5999999996,Dealer_44,Europe,Electric,Manual
2024,9,i3,20,51417.34,1028346.7999999999,Dealer_30,Europe,Electric,Automatic
2019,1,i8,29,145419.89,4217176.8100000005,Dealer_20,Africa,Petrol,Automatic
2014,1,Z4,20,48268.52,965370.3999999999,Dealer_5,North America,Electric,Automatic
2021,2,i8,27,167753.19,4529336.13,Dealer_5,Middle East,Petrol,Automatic
2016,3,7 Series,22,96028.61,2112629.42,Dealer_47,Africa,Electric,Automatic
2024,7,i3,11,52239.87,574638.5700000001,Dealer_25,Middle East,Petrol,Manual
2020,6,5 Series,25,52444.81,1311120.25,Dealer_35,Middle East,Diesel,Manual
2023,1,3 Series,19,50128.98,952450.6200000001,Dealer_30,Africa,Electric,Automatic
2023,4,X1,21,36336.57,763067.97,Dealer_10,Asia,Diesel,Manual
2010,11,X6,19,75913.39,1442354.41,Dealer_2,Europe,Diesel,Manual
2011,10,3 Series,24,43425.16,1042203.8400000001,Dealer_44,Africa,Petrol,Manual
2021,1,X6,17,72218.22,1227709.74,Dealer_35,Europe,Petrol,Manual
2018,5,X1,15,40065.76,600986.4,Dealer_47,South America,Hybrid,Automatic
2013,5,7 Series,21,101635.24,2134340.04,Dealer_34,Europe,Electric,Automatic
2014,1,i8,28,165837.85,4643459.8,Dealer_48,Europe,Electric,Automatic
2010,6,M5,22,115647.29,2544240.38,Dealer_34,Asia,Electric,Automatic
2012,5,X6,15,66861.46,1002921.9000000001,Dealer_35,Middle East,Diesel,Manual
